county,precinct,office,district,party,candidate,votes,mail,election_day
Sutter,1st Reform 31,Public Instruction,,None,Tony Thurmond,48,,
Sutter,P Grove 32,Public Instruction,,None,Tony Thurmond,88,,
Sutter,E Nicolaus 33,Public Instruction,,None,Tony Thurmond,154,,
Sutter,34,Public Instruction,,None,Tony Thurmond,136,,
Sutter,35,Public Instruction,,None,Tony Thurmond,102,,
Sutter,36,Public Instruction,,None,Tony Thurmond,35,,
Sutter,37,Public Instruction,,None,Tony Thurmond,177,,
Sutter,38,Public Instruction,,None,Tony Thurmond,108,,
Sutter,39,Public Instruction,,None,Tony Thurmond,24,,
Sutter,40,Public Instruction,,None,Tony Thurmond,147,,
Sutter,41,Public Instruction,,None,Tony Thurmond,169,,
Sutter,42,Public Instruction,,None,Tony Thurmond,124,,
Sutter,43,Public Instruction,,None,Tony Thurmond,129,,
Sutter,44,Public Instruction,,None,Tony Thurmond,207,,
Sutter,45,Public Instruction,,None,Tony Thurmond,70,,
Sutter,46,Public Instruction,,None,Tony Thurmond,8,,
Sutter,47,Public Instruction,,None,Tony Thurmond,10,,
Sutter,48,Public Instruction,,None,Tony Thurmond,72,,
Sutter,49,Public Instruction,,None,Tony Thurmond,99,,
Sutter,50,Public Instruction,,None,Tony Thurmond,17,,
Sutter,LO Comm 01 ,US House,3,Dem,John Garamendi,531,,
Sutter,LO Comm 02 ,US House,3,Dem,John Garamendi,628,,
Sutter,Dell Wayne 03,US House,3,Dem,John Garamendi,268,,
Sutter,United Pent 04,US House,3,Dem,John Garamendi,639,,
Sutter,United Pent 05,US House,3,Dem,John Garamendi,404,,
Sutter,7th Day 06,US House,3,Dem,John Garamendi,92,,
Sutter,Sutter Estates 07,US House,3,Dem,John Garamendi,168,,
Sutter,YS Fair 08,US House,3,Dem,John Garamendi,199,,
Sutter,YS Fair 09,US House,3,Dem,John Garamendi,236,,
Sutter,St Isidore 10,US House,3,Dem,John Garamendi,208,,
Sutter,Sutter HS 11,US House,3,Dem,John Garamendi,217,,
Sutter,Sutter HS 12,US House,3,Dem,John Garamendi,217,,
Sutter,Franklin 13,US House,3,Dem,John Garamendi,97,,
Sutter,Meridian 14,US House,3,Dem,John Garamendi,53,,
Sutter,1st United 15,US House,3,Dem,John Garamendi,473,,
Sutter,1st United 16,US House,3,Dem,John Garamendi,360,,
Sutter,Veterans 17,US House,3,Dem,John Garamendi,197,,
Sutter,Veterans 18,US House,3,Dem,John Garamendi,253,,
Sutter,Veterans 19,US House,3,Dem,John Garamendi,326,,
Sutter,Veterans 20,US House,3,Dem,John Garamendi,433,,
Sutter,St Andrew 21,US House,3,Dem,John Garamendi,585,,
Sutter,St Andrew 22,US House,3,Dem,John Garamendi,570,,
Sutter,AK School 23,US House,3,Dem,John Garamendi,583,,
Sutter,AK School 24,US House,3,Dem,John Garamendi,785,,
Sutter,St James 25,US House,3,Dem,John Garamendi,224,,
Sutter,Walnut 26,US House,3,Dem,John Garamendi,295,,
Sutter,Walnut 27,US House,3,Dem,John Garamendi,228,,
Sutter,NV Calvary 28,US House,3,Dem,John Garamendi,536,,
Sutter,NV Calvary 29,US House,3,Dem,John Garamendi,441,,
Sutter,Riverbend 30,US House,3,Dem,John Garamendi,419,,
Sutter,1st Reform 31,US House,3,Dem,John Garamendi,73,,
Sutter,P Grove 32,US House,3,Dem,John Garamendi,91,,
Sutter,E Nicolaus 33,US House,3,Dem,John Garamendi,198,,
Sutter,34,US House,3,Dem,John Garamendi,219,,
Sutter,35,US House,3,Dem,John Garamendi,146,,
Sutter,36,US House,3,Dem,John Garamendi,49,,
Sutter,37,US House,3,Dem,John Garamendi,281,,
Sutter,38,US House,3,Dem,John Garamendi,132,,
Sutter,39,US House,3,Dem,John Garamendi,46,,
Sutter,40,US House,3,Dem,John Garamendi,228,,
Sutter,41,US House,3,Dem,John Garamendi,285,,
Sutter,42,US House,3,Dem,John Garamendi,186,,
Sutter,43,US House,3,Dem,John Garamendi,202,,
Sutter,44,US House,3,Dem,John Garamendi,355,,
Sutter,45,US House,3,Dem,John Garamendi,110,,
Sutter,46,US House,3,Dem,John Garamendi,12,,
Sutter,47,US House,3,Dem,John Garamendi,14,,
Sutter,48,US House,3,Dem,John Garamendi,118,,
Sutter,49,US House,3,Dem,John Garamendi,126,,
Sutter,50,US House,3,Dem,John Garamendi,36,,
Sutter,LO Comm 01 ,US House,3,Rep,Charlie Schaupp,344,,
Sutter,LO Comm 02 ,US House,3,Rep,Charlie Schaupp,442,,
Sutter,Dell Wayne 03,US House,3,Rep,Charlie Schaupp,322,,
Sutter,United Pent 04,US House,3,Rep,Charlie Schaupp,800,,
Sutter,United Pent 05,US House,3,Rep,Charlie Schaupp,469,,
Sutter,7th Day 06,US House,3,Rep,Charlie Schaupp,113,,
Sutter,Sutter Estates 07,US House,3,Rep,Charlie Schaupp,117,,
Sutter,YS Fair 08,US House,3,Rep,Charlie Schaupp,138,,
Sutter,YS Fair 09,US House,3,Rep,Charlie Schaupp,239,,
Sutter,St Isidore 10,US House,3,Rep,Charlie Schaupp,257,,
Sutter,Sutter HS 11,US House,3,Rep,Charlie Schaupp,630,,
Sutter,Sutter HS 12,US House,3,Rep,Charlie Schaupp,537,,
Sutter,Franklin 13,US House,3,Rep,Charlie Schaupp,221,,
Sutter,Meridian 14,US House,3,Rep,Charlie Schaupp,187,,
Sutter,1st United 15,US House,3,Rep,Charlie Schaupp,451,,
Sutter,1st United 16,US House,3,Rep,Charlie Schaupp,590,,
Sutter,Veterans 17,US House,3,Rep,Charlie Schaupp,285,,
Sutter,Veterans 18,US House,3,Rep,Charlie Schaupp,423,,
Sutter,Veterans 19,US House,3,Rep,Charlie Schaupp,483,,
Sutter,Veterans 20,US House,3,Rep,Charlie Schaupp,466,,
Sutter,St Andrew 21,US House,3,Rep,Charlie Schaupp,308,,
Sutter,St Andrew 22,US House,3,Rep,Charlie Schaupp,438,,
Sutter,AK School 23,US House,3,Rep,Charlie Schaupp,489,,
Sutter,AK School 24,US House,3,Rep,Charlie Schaupp,508,,
Sutter,St James 25,US House,3,Rep,Charlie Schaupp,217,,
Sutter,Walnut 26,US House,3,Rep,Charlie Schaupp,415,,
Sutter,Walnut 27,US House,3,Rep,Charlie Schaupp,431,,
Sutter,NV Calvary 28,US House,3,Rep,Charlie Schaupp,553,,
Sutter,NV Calvary 29,US House,3,Rep,Charlie Schaupp,401,,
Sutter,Riverbend 30,US House,3,Rep,Charlie Schaupp,369,,
Sutter,1st Reform 31,US House,3,Rep,Charlie Schaupp,133,,
Sutter,P Grove 32,US House,3,Rep,Charlie Schaupp,291,,
Sutter,E Nicolaus 33,US House,3,Rep,Charlie Schaupp,461,,
Sutter,34,US House,3,Rep,Charlie Schaupp,391,,
Sutter,35,US House,3,Rep,Charlie Schaupp,268,,
Sutter,36,US House,3,Rep,Charlie Schaupp,80,,
Sutter,37,US House,3,Rep,Charlie Schaupp,390,,
Sutter,38,US House,3,Rep,Charlie Schaupp,225,,
Sutter,39,US House,3,Rep,Charlie Schaupp,108,,
Sutter,40,US House,3,Rep,Charlie Schaupp,245,,
Sutter,41,US House,3,Rep,Charlie Schaupp,292,,
Sutter,42,US House,3,Rep,Charlie Schaupp,275,,
Sutter,43,US House,3,Rep,Charlie Schaupp,187,,
Sutter,44,US House,3,Rep,Charlie Schaupp,341,,
Sutter,45,US House,3,Rep,Charlie Schaupp,199,,
Sutter,46,US House,3,Rep,Charlie Schaupp,59,,
Sutter,47,US House,3,Rep,Charlie Schaupp,41,,
Sutter,48,US House,3,Rep,Charlie Schaupp,167,,
Sutter,49,US House,3,Rep,Charlie Schaupp,274,,
Sutter,50,US House,3,Rep,Charlie Schaupp,38,,
Sutter,LO Comm 01 ,State Senate,4,Dem,Philip Kim,445,,
Sutter,LO Comm 02 ,State Senate,4,Dem,Philip Kim,494,,
Sutter,Dell Wayne 03,State Senate,4,Dem,Philip Kim,222,,
Sutter,United Pent 04,State Senate,4,Dem,Philip Kim,468,,
Sutter,United Pent 05,State Senate,4,Dem,Philip Kim,308,,
Sutter,7th Day 06,State Senate,4,Dem,Philip Kim,75,,
Sutter,Sutter Estates 07,State Senate,4,Dem,Philip Kim,131,,
Sutter,YS Fair 08,State Senate,4,Dem,Philip Kim,172,,
Sutter,YS Fair 09,State Senate,4,Dem,Philip Kim,186,,
Sutter,St Isidore 10,State Senate,4,Dem,Philip Kim,150,,
Sutter,Sutter HS 11,State Senate,4,Dem,Philip Kim,130,,
Sutter,Sutter HS 12,State Senate,4,Dem,Philip Kim,124,,
Sutter,Franklin 13,State Senate,4,Dem,Philip Kim,55,,
Sutter,Meridian 14,State Senate,4,Dem,Philip Kim,33,,
Sutter,1st United 15,State Senate,4,Dem,Philip Kim,389,,
Sutter,1st United 16,State Senate,4,Dem,Philip Kim,245,,
Sutter,Veterans 17,State Senate,4,Dem,Philip Kim,147,,
Sutter,Veterans 18,State Senate,4,Dem,Philip Kim,175,,
Sutter,Veterans 19,State Senate,4,Dem,Philip Kim,219,,
Sutter,Veterans 20,State Senate,4,Dem,Philip Kim,325,,
Sutter,St Andrew 21,State Senate,4,Dem,Philip Kim,442,,
Sutter,St Andrew 22,State Senate,4,Dem,Philip Kim,436,,
Sutter,AK School 23,State Senate,4,Dem,Philip Kim,460,,
Sutter,AK School 24,State Senate,4,Dem,Philip Kim,654,,
Sutter,St James 25,State Senate,4,Dem,Philip Kim,173,,
Sutter,Walnut 26,State Senate,4,Dem,Philip Kim,177,,
Sutter,Walnut 27,State Senate,4,Dem,Philip Kim,147,,
Sutter,NV Calvary 28,State Senate,4,Dem,Philip Kim,440,,
Sutter,NV Calvary 29,State Senate,4,Dem,Philip Kim,353,,
Sutter,Riverbend 30,State Senate,4,Dem,Philip Kim,344,,
Sutter,1st Reform 31,State Senate,4,Dem,Philip Kim,47,,
Sutter,P Grove 32,State Senate,4,Dem,Philip Kim,48,,
Sutter,E Nicolaus 33,State Senate,4,Dem,Philip Kim,111,,
Sutter,34,State Senate,4,Dem,Philip Kim,138,,
Sutter,35,State Senate,4,Dem,Philip Kim,82,,
Sutter,36,State Senate,4,Dem,Philip Kim,33,,
Sutter,37,State Senate,4,Dem,Philip Kim,186,,
Sutter,38,State Senate,4,Dem,Philip Kim,96,,
Sutter,39,State Senate,4,Dem,Philip Kim,32,,
Sutter,40,State Senate,4,Dem,Philip Kim,188,,
Sutter,41,State Senate,4,Dem,Philip Kim,239,,
Sutter,42,State Senate,4,Dem,Philip Kim,158,,
Sutter,43,State Senate,4,Dem,Philip Kim,166,,
Sutter,44,State Senate,4,Dem,Philip Kim,276,,
Sutter,45,State Senate,4,Dem,Philip Kim,76,,
Sutter,46,State Senate,4,Dem,Philip Kim,11,,
Sutter,47,State Senate,4,Dem,Philip Kim,10,,
Sutter,48,State Senate,4,Dem,Philip Kim,94,,
Sutter,49,State Senate,4,Dem,Philip Kim,85,,
Sutter,50,State Senate,4,Dem,Philip Kim,35,,
Sutter,LO Comm 01 ,State Senate,4,Rep,James Nielsen,424,,
Sutter,LO Comm 02 ,State Senate,4,Rep,James Nielsen,563,,
Sutter,Dell Wayne 03,State Senate,4,Rep,James Nielsen,357,,
Sutter,United Pent 04,State Senate,4,Rep,James Nielsen,946,,
Sutter,United Pent 05,State Senate,4,Rep,James Nielsen,555,,
Sutter,7th Day 06,State Senate,4,Rep,James Nielsen,131,,
Sutter,Sutter Estates 07,State Senate,4,Rep,James Nielsen,149,,
Sutter,YS Fair 08,State Senate,4,Rep,James Nielsen,162,,
Sutter,YS Fair 09,State Senate,4,Rep,James Nielsen,284,,
Sutter,St Isidore 10,State Senate,4,Rep,James Nielsen,309,,
Sutter,Sutter HS 11,State Senate,4,Rep,James Nielsen,704,,
Sutter,Sutter HS 12,State Senate,4,Rep,James Nielsen,619,,
Sutter,Franklin 13,State Senate,4,Rep,James Nielsen,255,,
Sutter,Meridian 14,State Senate,4,Rep,James Nielsen,203,,
Sutter,1st United 15,State Senate,4,Rep,James Nielsen,517,,
Sutter,1st United 16,State Senate,4,Rep,James Nielsen,690,,
Sutter,Veterans 17,State Senate,4,Rep,James Nielsen,326,,
Sutter,Veterans 18,State Senate,4,Rep,James Nielsen,494,,
Sutter,Veterans 19,State Senate,4,Rep,James Nielsen,586,,
Sutter,Veterans 20,State Senate,4,Rep,James Nielsen,558,,
Sutter,St Andrew 21,State Senate,4,Rep,James Nielsen,431,,
Sutter,St Andrew 22,State Senate,4,Rep,James Nielsen,530,,
Sutter,AK School 23,State Senate,4,Rep,James Nielsen,587,,
Sutter,AK School 24,State Senate,4,Rep,James Nielsen,607,,
Sutter,St James 25,State Senate,4,Rep,James Nielsen,260,,
Sutter,Walnut 26,State Senate,4,Rep,James Nielsen,525,,
Sutter,Walnut 27,State Senate,4,Rep,James Nielsen,503,,
Sutter,NV Calvary 28,State Senate,4,Rep,James Nielsen,638,,
Sutter,NV Calvary 29,State Senate,4,Rep,James Nielsen,481,,
Sutter,Riverbend 30,State Senate,4,Rep,James Nielsen,425,,
Sutter,1st Reform 31,State Senate,4,Rep,James Nielsen,156,,
Sutter,P Grove 32,State Senate,4,Rep,James Nielsen,328,,
Sutter,E Nicolaus 33,State Senate,4,Rep,James Nielsen,527,,
Sutter,34,State Senate,4,Rep,James Nielsen,462,,
Sutter,35,State Senate,4,Rep,James Nielsen,330,,
Sutter,36,State Senate,4,Rep,James Nielsen,94,,
Sutter,37,State Senate,4,Rep,James Nielsen,473,,
Sutter,38,State Senate,4,Rep,James Nielsen,254,,
Sutter,39,State Senate,4,Rep,James Nielsen,123,,
Sutter,40,State Senate,4,Rep,James Nielsen,272,,
Sutter,41,State Senate,4,Rep,James Nielsen,333,,
Sutter,42,State Senate,4,Rep,James Nielsen,297,,
Sutter,43,State Senate,4,Rep,James Nielsen,217,,
Sutter,44,State Senate,4,Rep,James Nielsen,399,,
Sutter,45,State Senate,4,Rep,James Nielsen,221,,
Sutter,46,State Senate,4,Rep,James Nielsen,60,,
Sutter,47,State Senate,4,Rep,James Nielsen,45,,
Sutter,48,State Senate,4,Rep,James Nielsen,183,,
Sutter,49,State Senate,4,Rep,James Nielsen,313,,
Sutter,50,State Senate,4,Rep,James Nielsen,39,,
Sutter,LO Comm 01 ,Assembly,3,Dem,Sonia Aery,445,,
Sutter,LO Comm 02 ,Assembly,3,Dem,Sonia Aery,502,,
Sutter,Dell Wayne 03,Assembly,3,Dem,Sonia Aery,211,,
Sutter,United Pent 04,Assembly,3,Dem,Sonia Aery,441,,
Sutter,United Pent 05,Assembly,3,Dem,Sonia Aery,304,,
Sutter,7th Day 06,Assembly,3,Dem,Sonia Aery,77,,
Sutter,Sutter Estates 07,Assembly,3,Dem,Sonia Aery,127,,
Sutter,YS Fair 08,Assembly,3,Dem,Sonia Aery,174,,
Sutter,YS Fair 09,Assembly,3,Dem,Sonia Aery,176,,
Sutter,St Isidore 10,Assembly,3,Dem,Sonia Aery,135,,
Sutter,Sutter HS 11,Assembly,3,Dem,Sonia Aery,123,,
Sutter,Sutter HS 12,Assembly,3,Dem,Sonia Aery,112,,
Sutter,Franklin 13,Assembly,3,Dem,Sonia Aery,47,,
Sutter,Meridian 14,Assembly,3,Dem,Sonia Aery,32,,
Sutter,1st United 15,Assembly,3,Dem,Sonia Aery,375,,
Sutter,1st United 16,Assembly,3,Dem,Sonia Aery,234,,
Sutter,Veterans 17,Assembly,3,Dem,Sonia Aery,139,,
Sutter,Veterans 18,Assembly,3,Dem,Sonia Aery,169,,
Sutter,Veterans 19,Assembly,3,Dem,Sonia Aery,217,,
Sutter,Veterans 20,Assembly,3,Dem,Sonia Aery,321,,
Sutter,St Andrew 21,Assembly,3,Dem,Sonia Aery,493,,
Sutter,St Andrew 22,Assembly,3,Dem,Sonia Aery,460,,
Sutter,AK School 23,Assembly,3,Dem,Sonia Aery,466,,
Sutter,AK School 24,Assembly,3,Dem,Sonia Aery,651,,
Sutter,St James 25,Assembly,3,Dem,Sonia Aery,191,,
Sutter,Walnut 26,Assembly,3,Dem,Sonia Aery,161,,
Sutter,Walnut 27,Assembly,3,Dem,Sonia Aery,138,,
Sutter,NV Calvary 28,Assembly,3,Dem,Sonia Aery,424,,
Sutter,NV Calvary 29,Assembly,3,Dem,Sonia Aery,354,,
Sutter,Riverbend 30,Assembly,3,Dem,Sonia Aery,353,,
Sutter,1st Reform 31,Assembly,3,Dem,Sonia Aery,51,,
Sutter,P Grove 32,Assembly,3,Dem,Sonia Aery,49,,
Sutter,E Nicolaus 33,Assembly,3,Dem,Sonia Aery,101,,
Sutter,34,Assembly,3,Dem,Sonia Aery,124,,
Sutter,35,Assembly,3,Dem,Sonia Aery,85,,
Sutter,36,Assembly,3,Dem,Sonia Aery,35,,
Sutter,37,Assembly,3,Dem,Sonia Aery,168,,
Sutter,38,Assembly,3,Dem,Sonia Aery,96,,
Sutter,39,Assembly,3,Dem,Sonia Aery,26,,
Sutter,40,Assembly,3,Dem,Sonia Aery,185,,
Sutter,41,Assembly,3,Dem,Sonia Aery,226,,
Sutter,42,Assembly,3,Dem,Sonia Aery,144,,
Sutter,43,Assembly,3,Dem,Sonia Aery,161,,
Sutter,44,Assembly,3,Dem,Sonia Aery,302,,
Sutter,45,Assembly,3,Dem,Sonia Aery,68,,
Sutter,46,Assembly,3,Dem,Sonia Aery,10,,
Sutter,47,Assembly,3,Dem,Sonia Aery,9,,
Sutter,48,Assembly,3,Dem,Sonia Aery,89,,
Sutter,49,Assembly,3,Dem,Sonia Aery,77,,
Sutter,50,Assembly,3,Dem,Sonia Aery,33,,
Sutter,LO Comm 01 ,Assembly,3,Rep,James Gallagher,421,,
Sutter,LO Comm 02 ,Assembly,3,Rep,James Gallagher,562,,
Sutter,Dell Wayne 03,Assembly,3,Rep,James Gallagher,372,,
Sutter,United Pent 04,Assembly,3,Rep,James Gallagher,1004,,
Sutter,United Pent 05,Assembly,3,Rep,James Gallagher,565,,
Sutter,7th Day 06,Assembly,3,Rep,James Gallagher,131,,
Sutter,Sutter Estates 07,Assembly,3,Rep,James Gallagher,161,,
Sutter,YS Fair 08,Assembly,3,Rep,James Gallagher,163,,
Sutter,YS Fair 09,Assembly,3,Rep,James Gallagher,296,,
Sutter,St Isidore 10,Assembly,3,Rep,James Gallagher,327,,
Sutter,Sutter HS 11,Assembly,3,Rep,James Gallagher,721,,
Sutter,Sutter HS 12,Assembly,3,Rep,James Gallagher,635,,
Sutter,Franklin 13,Assembly,3,Rep,James Gallagher,269,,
Sutter,Meridian 14,Assembly,3,Rep,James Gallagher,207,,
Sutter,1st United 15,Assembly,3,Rep,James Gallagher,551,,
Sutter,1st United 16,Assembly,3,Rep,James Gallagher,717,,
Sutter,Veterans 17,Assembly,3,Rep,James Gallagher,337,,
Sutter,Veterans 18,Assembly,3,Rep,James Gallagher,508,,
Sutter,Veterans 19,Assembly,3,Rep,James Gallagher,597,,
Sutter,Veterans 20,Assembly,3,Rep,James Gallagher,577,,
Sutter,St Andrew 21,Assembly,3,Rep,James Gallagher,452,,
Sutter,St Andrew 22,Assembly,3,Rep,James Gallagher,562,,
Sutter,AK School 23,Assembly,3,Rep,James Gallagher,620,,
Sutter,AK School 24,Assembly,3,Rep,James Gallagher,659,,
Sutter,St James 25,Assembly,3,Rep,James Gallagher,264,,
Sutter,Walnut 26,Assembly,3,Rep,James Gallagher,558,,
Sutter,Walnut 27,Assembly,3,Rep,James Gallagher,520,,
Sutter,NV Calvary 28,Assembly,3,Rep,James Gallagher,675,,
Sutter,NV Calvary 29,Assembly,3,Rep,James Gallagher,486,,
Sutter,Riverbend 30,Assembly,3,Rep,James Gallagher,437,,
Sutter,1st Reform 31,Assembly,3,Rep,James Gallagher,154,,
Sutter,P Grove 32,Assembly,3,Rep,James Gallagher,336,,
Sutter,E Nicolaus 33,Assembly,3,Rep,James Gallagher,556,,
Sutter,34,Assembly,3,Rep,James Gallagher,481,,
Sutter,35,Assembly,3,Rep,James Gallagher,333,,
Sutter,36,Assembly,3,Rep,James Gallagher,94,,
Sutter,37,Assembly,3,Rep,James Gallagher,505,,
Sutter,38,Assembly,3,Rep,James Gallagher,260,,
Sutter,39,Assembly,3,Rep,James Gallagher,129,,
Sutter,40,Assembly,3,Rep,James Gallagher,277,,
Sutter,41,Assembly,3,Rep,James Gallagher,353,,
Sutter,42,Assembly,3,Rep,James Gallagher,316,,
Sutter,43,Assembly,3,Rep,James Gallagher,224,,
Sutter,44,Assembly,3,Rep,James Gallagher,389,,
Sutter,45,Assembly,3,Rep,James Gallagher,234,,
Sutter,46,Assembly,3,Rep,James Gallagher,61,,
Sutter,47,Assembly,3,Rep,James Gallagher,47,,
Sutter,48,Assembly,3,Rep,James Gallagher,194,,
Sutter,49,Assembly,3,Rep,James Gallagher,321,,
Sutter,50,Assembly,3,Rep,James Gallagher,44,,